                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.04352,                0.90831,                0.97762,                 3.7433,             9.5595e-05,             9.5595e-05,             9.5595e-05
                     83,                0.04165,                0.90853,                0.97773,                 3.7465,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     84,                 0.0402,                 0.9081,                0.97784,                 3.7431,             7.8933e-05,             7.8933e-05,             7.8933e-05
                     85,                0.03985,                0.90756,                0.97784,                 3.7431,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     86,                0.03874,                0.90745,                0.97794,                  3.743,             6.3952e-05,             6.3952e-05,             6.3952e-05
                     87,                0.03645,                0.90788,                0.97762,                 3.7429,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     88,                0.03961,                0.90756,                0.97773,                 3.7459,             5.0711e-05,             5.0711e-05,             5.0711e-05
                     89,                0.03754,                0.90691,                0.97773,                 3.7429,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     90,                0.03732,                0.90691,                0.97762,                 3.7429,             3.9264e-05,             3.9264e-05,             3.9264e-05
                     91,                 0.0342,                0.90669,                0.97762,                 3.7428,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     92,                0.03542,                0.90702,                 0.9774,                 3.7428,             2.9655e-05,             2.9655e-05,             2.9655e-05
                     93,                0.03754,                0.90669,                 0.9774,                 3.7428,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     94,                0.03667,                0.90669,                0.97751,                 3.7428,             2.1921e-05,             2.1921e-05,             2.1921e-05
                     95,                0.03321,                 0.9068,                 0.9774,                 3.7428,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     96,                0.03521,                0.90702,                0.97729,                 3.7461,             1.6094e-05,             1.6094e-05,             1.6094e-05
                     97,                0.03461,                0.90702,                0.97729,                 3.7427,             1.3903e-05,             1.3903e-05,             1.3903e-05
                     98,                0.03218,                0.90702,                0.97729,                 3.7427,             1.2197e-05,             1.2197e-05,             1.2197e-05
                     99,                0.03378,                0.90713,                0.97697,                 3.7428,             1.0977e-05,             1.0977e-05,             1.0977e-05
                    100,                0.03173,                0.90723,                0.97697,                 3.7427,             1.0244e-05,             1.0244e-05,             1.0244e-05
                      1,                 3.3619,                0.49995,                0.81349,                 4.2769,               0.080209,             0.00019991,             0.00019991
                      1,                 2.9789,                 0.6058,                0.87793,                 4.1726,               0.080209,             0.00019991,             0.00019991
                      2,                 1.7525,                0.72083,                0.92691,                 4.0129,               0.060408,             0.00039982,             0.00039982
                      3,                 1.3866,                0.75878,                0.94518,                 3.9532,               0.040608,             0.00059933,             0.00059933
                      4,                  1.193,                0.80225,                  0.956,                 3.9081,               0.020807,             0.00079816,             0.00079816
                      5,                 1.0598,                0.81782,                0.96162,                 3.8806,              0.0010047,             0.00099601,             0.00099601
                      6,                0.95693,                0.83685,                 0.9654,                 3.8598,             0.00099391,             0.00099391,             0.00099391
                      7,                0.87792,                 0.8482,                0.96854,                 3.8414,             0.00099123,             0.00099123,             0.00099123
                      8,                0.81701,                0.85047,                0.96875,                 3.8343,             0.00098808,             0.00098808,             0.00098808
                      9,                0.78025,                0.86388,                0.97038,                 3.8225,             0.00098445,             0.00098445,             0.00098445
                     10,                0.73716,                0.86409,                0.97211,                 3.8183,             0.00098035,             0.00098035,             0.00098035
                     11,                0.70167,                 0.8682,                0.97254,                 3.8124,             0.00097577,             0.00097577,             0.00097577
